player,position,team,is_active,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,otc_id,gsis_id
Marvin Mims,WR,Broncos,True,2023,4.0,6.068634,1.517159,3.189399,0.006999999999999999,8.131106,2.032777,4.273341,10887,00-0038976
Tim Patrick,WR,Jets,True,2026,1.0,2.0,2.0,1.0,0.006999999999999999,2.0,2.0,1.0,6035,00-0033375
John Metchie III,WR,Panthers,True,2026,1.0,1.9,1.9,1.0,0.006,1.9,1.9,1.0,10089,00-0037614
Devin Duvernay,WR,Cardinals,True,2026,1.0,1.85,1.85,0.55,0.006,1.85,1.85,0.55,8832,00-0036331
Josh Downs,WR,Colts,True,2023,4.0,5.520456,1.380114,1.014876,0.006,7.396625,1.849156,1.359789,10903,00-0038997
Antonio Williams,WR,Commanders,True,2026,4.0,7.25872,1.81468,1.739068,0.006,7.25872,1.81468,1.739068,13215,00-0041040
Kyle Williams,WR,Patriots,True,2025,4.0,6.703572,1.675893,1.515324,0.006,7.23179,1.807948,1.634726,12429,00-0040131
Dareke Young,WR,Raiders,True,2026,1.0,1.802,1.802,0.8,0.006,1.802,1.802,0.8,10278,00-0037093
Malachi Fields,WR,Giants,True,2026,4.0,7.19151,1.797878,1.690188,0.006,7.19151,1.797878,1.690188,13218,00-0041042
Isaac TeSlaa,WR,Lions,True,2025,4.0,6.664452,1.666113,1.486872,0.006,7.189588,1.797397,1.604032,12430,00-0040669
Caleb Douglas,WR,Dolphins,True,2026,4.0,7.168498,1.792125,1.673452,0.006,7.168498,1.792125,1.673452,13219,00-0041523
Tre Tucker,WR,Raiders,True,2023,4.0,5.304082,1.326021,0.857512,0.006,7.106715,1.776679,1.148944,10924,00-0038563
Pat Bryant,WR,Broncos,True,2025,4.0,6.58108,1.64527,1.42624,0.006,7.099646,1.774912,1.538623,12434,00-0040134
Zachariah Branch,WR,Falcons,True,2026,4.0,7.056144,1.764036,1.59174,0.006,7.056144,1.764036,1.59174,13223,00-0041044
Ja'Kobi Lane,WR,Ravens,True,2026,4.0,7.02908,1.75727,1.572056,0.006,7.02908,1.75727,1.572056,13224,00-0040870
Dyami Brown,WR,Commanders,True,2026,1.0,1.75,1.75,0.25,0.006,1.75,1.75,0.25,9546,00-0036626
