season,season_type,week,game_id,game_date,home_team,away_team,team,opponent,off_plays,off_epa_total,off_epa_per_play,off_success_rate,yards_gained,pass_attempts,rush_attempts,turnovers,touchdowns,def_plays,def_epa_allowed_total,def_epa_allowed_per_play,def_success_allowed,yards_allowed,takeaways,penalties_committed,penalty_yards_committed,is_home,home_away,pass_rate,points_for,points_against,opp_season_off_epa_per_play,opp_season_def_epa_allowed_per_play,off_adj_epa,def_adj_epa,point_diff,turnover_margin,opp_penalty_yards_committed,penalty_yards_margin,success_margin,estat_game
2021,REG,17,2021_17_DEN_LAC,2022-01-02,LAC,DEN,DEN,LAC,61,-7.181693697517458,-0.11773268356585997,0.47540983606557374,319.0,29.0,27.0,0.0,1.0,65,10.16628228589395,0.1564043428599069,0.5076923076923077,343.0,0.0,3.0,23.0,0,Away,0.5178571428571429,13.0,34.0,0.07597827829889435,0.04281864109490749,-0.16055132466076746,-0.08042606456101255,-21.0,0.0,17.0,-6.0,-0.03228247162673392,-0.1032192028513854
2021,REG,17,2021_17_DET_SEA,2022-01-02,SEA,DET,DET,SEA,64,1.171794312825837,0.018309286137903703,0.4375,359.0,38.0,22.0,3.0,4.0,71,27.947195904231766,0.39362247752439106,0.5774647887323944,498.0,0.0,4.0,30.0,0,Away,0.6333333333333333,29.0,51.0,0.03015772091381884,0.027610382067463853,-0.00930109592956015,-0.3634647566105722,-22.0,-3.0,21.0,-9.0,-0.13996478873239437,-0.3785028198892924
2021,REG,17,2021_17_MIN_GB,2022-01-02,GB,MIN,GB,MIN,74,17.04864466717431,0.23038709009695016,0.581081081081081,482.0,42.0,31.0,0.0,4.0,54,-14.976434722936531,-0.2773413837580839,0.3148148148148148,206.0,0.0,1.0,5.0,1,Home,0.5753424657534246,37.0,10.0,0.0055982421240095195,-0.0027687406458737386,0.2331558307428239,0.2829396258820934,27.0,0.0,8.0,3.0,0.2662662662662662,0.23486480927659356
2021,REG,17,2021_17_HOU_SF,2022-01-02,SF,HOU,HOU,SF,68,-12.923695351249613,-0.1900543434007296,0.4117647058823529,222.0,35.0,27.0,1.0,1.0,64,2.6293636886557077,0.04108380763524543,0.421875,416.0,1.0,5.0,67.0,0,Away,0.5645161290322581,7.0,23.0,0.04806966883205603,-0.01889639798808982,-0.1711579454126398,0.0069858611968105985,-16.0,0.0,111.0,44.0,-0.010110294117647078,-0.04027986309809637
2021,REG,17,2021_17_LV_IND,2022-01-02,IND,LV,IND,LV,59,-1.6737845424044335,-0.028369229532278533,0.4067796610169492,262.0,28.0,26.0,0.0,2.0,65,1.1698376424379586,0.01799750219135321,0.4461538461538462,326.0,2.0,3.0,25.0,1,Home,0.5185185185185185,20.0,23.0,-0.01738056889387618,0.049459980962316366,-0.0778292104945949,-0.03537807108522939,-3.0,2.0,41.0,16.0,-0.039374185136897,0.1003796688543806
2021,REG,17,2021_17_JAX_NE,2022-01-02,NE,JAX,JAX,NE,48,-12.529603447032416,-0.2610334051465087,0.375,253.0,29.0,17.0,3.0,1.0,73,28.674937288562294,0.39280736011729167,0.6438356164383562,472.0,0.0,3.0,25.0,0,Away,0.6304347826086957,10.0,50.0,0.060163129496994316,-0.03777147939246928,-0.22326192575403941,-0.33264423062029735,-40.0,-3.0,30.0,5.0,-0.2688356164383562,-0.45624602419357035
2021,REG,17,2021_17_KC_CIN,2022-01-02,CIN,KC,KC,CIN,61,20.845440544011478,0.3417285335083849,0.5737704918032787,414.0,35.0,23.0,0.0,4.0,70,25.302332470107753,0.3614618924301108,0.5,475.0,0.0,8.0,63.0,0,Away,0.603448275862069,31.0,34.0,0.036810441859606226,-0.025664963766746346,0.36739349727513126,-0.32465145057050454,-3.0,0.0,62.0,-1.0,0.07377049180327866,0.023873867862178568
2021,REG,17,2021_17_LA_BAL,2022-01-02,BAL,LA,LA,BAL,58,3.407518873498999,0.05875032540515515,0.5,374.0,37.0,19.0,3.0,4.0,72,-3.700859637963907,-0.05140082830505426,0.4305555555555556,327.0,2.0,4.0,35.0,0,Away,0.6607142857142857,20.0,19.0,-0.004948179916336289,0.05564883517681185,0.003101490228343301,0.046452648388717974,1.0,-1.0,24.0,-11.0,0.06944444444444442,-0.04983390010873106
2021,REG,17,2021_17_DEN_LAC,2022-01-02,LAC,DEN,LAC,DEN,65,10.16628228589395,0.1564043428599069,0.5076923076923077,343.0,31.0,33.0,0.0,3.0,61,-7.181693697517458,-0.11773268356585997,0.47540983606557374,319.0,0.0,2.0,17.0,1,Home,0.484375,34.0,13.0,0.012642561241443273,-0.008750707431022199,0.16515505029092908,0.13037524480730325,21.0,0.0,23.0,6.0,0.03228247162673392,0.12504036520196632
2021,REG,17,2021_17_LV_IND,2022-01-02,IND,LV,LV,IND,65,1.1698376424379586,0.01799750219135321,0.4461538461538462,326.0,34.0,27.0,2.0,2.0,59,-1.6737845424044335,-0.028369229532278533,0.4067796610169492,262.0,0.0,6.0,41.0,0,Away,0.5573770491803278,23.0,20.0,0.055984394030525506,-0.018407347054362012,0.03640484924571522,0.08435362356280404,3.0,-2.0,25.0,-16.0,0.039374185136897,-0.09735919236290261
